feature,coefficient
1,0.3035427856317858
Fractal_dimension_zone_c,436.38078003591585
Vessel_density_zone_c,109.11181280227366
Average_width_zone_c,6.35089385121136
Distance_tortuosity_zone_c,-107.95448833340821
Tortuosity_density_zone_c,-312.8448035648211
Artery_Fractal_dimension_zone_c,-490.4619965129023
Artery_Distance_tortuosity_zone_c,2.7642601112957212
Vein_Fractal_dimension_zone_c,-172.81960345222964
Vein_Distance_tortuosity_zone_c,16.965112582928768
CRAE_Knudtson_zone_c,-0.05153835022417614
CRVE_Knudtson_zone_c,-0.7241557740085884
AVR_Knudtson_zone_c,-77.57368579089146
Fractal_dimension_zone_c^2,-255.18321512093908
Fractal_dimension_zone_c Vessel_density_zone_c,-36.98949390435543
Fractal_dimension_zone_c Average_width_zone_c,0.0454422806115622
Fractal_dimension_zone_c Distance_tortuosity_zone_c,48.712246054186544
Fractal_dimension_zone_c Tortuosity_density_zone_c,432.51817050602125
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,-426.03784698748325
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,25.536585453695178
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-14.89530532911777
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-12.457700074334884
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,0.34857311570741717
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-0.6225461916465928
Fractal_dimension_zone_c AVR_Knudtson_zone_c,395.59375843389205
Vessel_density_zone_c^2,12.159703604687673
Vessel_density_zone_c Average_width_zone_c,10.292503443140486
Vessel_density_zone_c Distance_tortuosity_zone_c,-661.162760605932
Vessel_density_zone_c Tortuosity_density_zone_c,19.233085716292337
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,219.4757162156682
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,163.9026161403767
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-103.48564278805034
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,214.99298433276186
Vessel_density_zone_c CRAE_Knudtson_zone_c,8.183629007812202
Vessel_density_zone_c CRVE_Knudtson_zone_c,-5.861399044124479
Vessel_density_zone_c AVR_Knudtson_zone_c,120.38149908712789
Average_width_zone_c^2,-0.009275738925024424
Average_width_zone_c Distance_tortuosity_zone_c,0.14262328670666324
Average_width_zone_c Tortuosity_density_zone_c,-0.183681521299651
Average_width_zone_c Artery_Fractal_dimension_zone_c,3.0288828405239054
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-0.057692866400056164
Average_width_zone_c Vein_Fractal_dimension_zone_c,-3.0178183781525836
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-0.027018006932410188
Average_width_zone_c CRAE_Knudtson_zone_c,0.05455871702224613
Average_width_zone_c CRVE_Knudtson_zone_c,-0.035382363945444695
Average_width_zone_c AVR_Knudtson_zone_c,-18.332812583150606
Distance_tortuosity_zone_c^2,0.460897148866906
Distance_tortuosity_zone_c Tortuosity_density_zone_c,18.79324425384917
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,10.73364035589885
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-0.012288454370223523
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,24.86735758917886
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,0.13377315869349804
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-0.34935324489977215
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,0.2759037160420017
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,161.04100308107107
Tortuosity_density_zone_c^2,123.21699677104021
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,-137.12953292173646
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-2.211005794310032
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-94.77969078794543
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,-12.913082149234816
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,0.3396129170019424
Tortuosity_density_zone_c CRVE_Knudtson_zone_c,0.7529178192734263
Tortuosity_density_zone_c AVR_Knudtson_zone_c,155.0592453422661
Artery_Fractal_dimension_zone_c^2,398.09453152417177
Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-19.211949147225216
Artery_Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,409.74956160700856
Artery_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-5.34267896901179
Artery_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-0.20906529967281595
Artery_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,0.6570073145902566
Artery_Fractal_dimension_zone_c AVR_Knudtson_zone_c,178.0129426200092
Artery_Distance_tortuosity_zone_c^2,-0.03759667633736341
Artery_Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-18.894568292809097
Artery_Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,0.01444643450393357
Artery_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-0.08498360385367398
Artery_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,0.030631416696640823
Artery_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,13.11855912396004
Vein_Fractal_dimension_zone_c^2,-49.66033742192995
Vein_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-2.5732937240546394
Vein_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-0.7556053001130819
Vein_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,1.3978623897281757
Vein_Fractal_dimension_zone_c AVR_Knudtson_zone_c,-82.45119113670606
Vein_Distance_tortuosity_zone_c^2,-0.12188263464453142
Vein_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-0.021217333164845975
Vein_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-0.010309364865082493
Vein_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-2.4602502363655767
CRAE_Knudtson_zone_c^2,-0.005763430801025038
CRAE_Knudtson_zone_c CRVE_Knudtson_zone_c,0.00018784990260201084
CRAE_Knudtson_zone_c AVR_Knudtson_zone_c,1.018021579101696
CRVE_Knudtson_zone_c^2,0.0015485335725884397
CRVE_Knudtson_zone_c AVR_Knudtson_zone_c,-0.07604752036722029
AVR_Knudtson_zone_c^2,-215.595735722878
Fractal_dimension_zone_c^3,38.490383031913744
Fractal_dimension_zone_c^2 Vessel_density_zone_c,-3.3824249789906577
Fractal_dimension_zone_c^2 Average_width_zone_c,-1.933661441728439
Fractal_dimension_zone_c^2 Distance_tortuosity_zone_c,1.2335269455173417
Fractal_dimension_zone_c^2 Tortuosity_density_zone_c,-103.908360295816
Fractal_dimension_zone_c^2 Artery_Fractal_dimension_zone_c,209.74060000610896
