feature,coefficient
1,-19.850112434942723
Fractal_dimension_zone_c,14475.172600324058
Vessel_density_zone_c,2668.0768076891873
Average_width_zone_c,24.968260202364704
Distance_tortuosity_zone_c,3092.490416212499
Tortuosity_density_zone_c,-1630.9435161246993
Artery_Fractal_dimension_zone_c,-3840.425658014543
Artery_Distance_tortuosity_zone_c,656.4165001085871
Vein_Fractal_dimension_zone_c,34743.75476839377
Vein_Distance_tortuosity_zone_c,-828.5689824759882
CRAE_Knudtson_zone_c,5.301140269527539
CRVE_Knudtson_zone_c,-26.03530837610575
AVR_Knudtson_zone_c,1184.4919955813732
Fractal_dimension_zone_c^2,-14316.429827950067
Fractal_dimension_zone_c Vessel_density_zone_c,-10446.813150970984
Fractal_dimension_zone_c Average_width_zone_c,-290.16331712367815
Fractal_dimension_zone_c Distance_tortuosity_zone_c,2880.6959148243463
Fractal_dimension_zone_c Tortuosity_density_zone_c,3884.8672019142023
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,22358.14838140747
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-535.5562175909846
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-26781.526637242965
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-1668.4629567672664
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-28.770859789068304
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,57.29040713295155
Fractal_dimension_zone_c AVR_Knudtson_zone_c,-6681.299867595962
Vessel_density_zone_c^2,737.5807083658593
Vessel_density_zone_c Average_width_zone_c,-1237.5821822526993
Vessel_density_zone_c Distance_tortuosity_zone_c,38954.152228421575
Vessel_density_zone_c Tortuosity_density_zone_c,-2868.640789058171
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,15156.252916637823
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,-11025.484990642699
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-2632.3003928092567
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,-21005.795897251275
Vessel_density_zone_c CRAE_Knudtson_zone_c,-299.59080756977545
Vessel_density_zone_c CRVE_Knudtson_zone_c,698.9927091401229
Vessel_density_zone_c AVR_Knudtson_zone_c,1038.216844832131
Average_width_zone_c^2,-0.6252347658565895
Average_width_zone_c Distance_tortuosity_zone_c,10.953245801525522
Average_width_zone_c Tortuosity_density_zone_c,-24.530639494565012
Average_width_zone_c Artery_Fractal_dimension_zone_c,-60.22371516825489
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-2.749808615802209
Average_width_zone_c Vein_Fractal_dimension_zone_c,-33.108848090091186
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-0.8393155775160892
Average_width_zone_c CRAE_Knudtson_zone_c,-2.4173377394395175
Average_width_zone_c CRVE_Knudtson_zone_c,1.4367851225915729
Average_width_zone_c AVR_Knudtson_zone_c,643.0147533702115
Distance_tortuosity_zone_c^2,-2.559872017276536
Distance_tortuosity_zone_c Tortuosity_density_zone_c,-467.23712732377754
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,-262.15609995170104
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-6.280268809665994
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-3868.91699654412
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-12.520061037571057
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,22.170636902368635
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-21.04704010771485
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-8847.261986131974
Tortuosity_density_zone_c^2,4507.956198225106
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,-7960.4682174344525
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-115.85245510536963
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,8947.48868087922
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,-218.98410879430347
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,62.082556181020266
