feature,coefficient
1,-0.19184467769115754
Fractal_dimension_zone_c,337.7405202684406
Vessel_density_zone_c,-14.17901437611427
Average_width_zone_c,1.0008720190132105
Distance_tortuosity_zone_c,0.49726800888205885
Tortuosity_density_zone_c,46.042555819840736
Artery_Fractal_dimension_zone_c,-147.81207118694505
Artery_Distance_tortuosity_zone_c,2.6744026871288975
Vein_Fractal_dimension_zone_c,-109.23993316946691
Vein_Distance_tortuosity_zone_c,1.3040481572631701
CRAE_Knudtson_zone_c,-1.1666977202663975
CRVE_Knudtson_zone_c,1.6154590490728802
AVR_Knudtson_zone_c,256.3416467337642
Fractal_dimension_zone_c^2,-85.88359311418287
Fractal_dimension_zone_c Vessel_density_zone_c,-45.66082956161736
Fractal_dimension_zone_c Average_width_zone_c,-4.725314918592052
Fractal_dimension_zone_c Distance_tortuosity_zone_c,20.487276596084897
Fractal_dimension_zone_c Tortuosity_density_zone_c,265.7682393704409
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,210.41021663709515
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-1.3132365940839894
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-456.86632619081047
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,4.032146598807805
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,0.4806622847079318
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-0.5284820735515563
Fractal_dimension_zone_c AVR_Knudtson_zone_c,309.4827831290399
Vessel_density_zone_c^2,-4.4542885985490415
Vessel_density_zone_c Average_width_zone_c,-25.310419115950168
Vessel_density_zone_c Distance_tortuosity_zone_c,464.27118876072086
Vessel_density_zone_c Tortuosity_density_zone_c,199.31780257784177
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,107.43436684189496
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,-93.65833271197381
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-259.45321780780665
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,-76.56328649118886
Vessel_density_zone_c CRAE_Knudtson_zone_c,-3.2062745355580713
Vessel_density_zone_c CRVE_Knudtson_zone_c,4.569030292606372
Vessel_density_zone_c AVR_Knudtson_zone_c,-10.541797066309627
Average_width_zone_c^2,0.003481921132779675
Average_width_zone_c Distance_tortuosity_zone_c,0.07241868702535947
Average_width_zone_c Tortuosity_density_zone_c,-1.3662569011301486
Average_width_zone_c Artery_Fractal_dimension_zone_c,0.919276619391771
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-0.025051092582615286
Average_width_zone_c Vein_Fractal_dimension_zone_c,3.018519345404098
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-0.08386385081263042
Average_width_zone_c CRAE_Knudtson_zone_c,0.008540362253853573
Average_width_zone_c CRVE_Knudtson_zone_c,-0.0010377997764372537
Average_width_zone_c AVR_Knudtson_zone_c,-0.10393379603142691
Distance_tortuosity_zone_c^2,0.2362372753451131
Distance_tortuosity_zone_c Tortuosity_density_zone_c,11.224309191880288
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,-12.587300363762703
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-0.14511231892542126
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-23.838721754563185
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-0.21636808733414245
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-0.01619279427587078
