feature,coefficient
1,-29.775109692969583
Fractal_dimension_zone_c,-38235.85116363044
Vessel_density_zone_c,-5972.449803452403
Average_width_zone_c,-841.329889751566
Distance_tortuosity_zone_c,2595.2468421474146
Tortuosity_density_zone_c,41957.67127801523
Artery_Fractal_dimension_zone_c,-20279.984348733793
Artery_Distance_tortuosity_zone_c,-333.62201869759457
Vein_Fractal_dimension_zone_c,48643.172371470624
Vein_Distance_tortuosity_zone_c,-3521.388955841142
CRAE_Knudtson_zone_c,34.79651941175519
CRVE_Knudtson_zone_c,35.638342021137206
AVR_Knudtson_zone_c,-6974.825801559924
Fractal_dimension_zone_c^2,21123.2795718282
Fractal_dimension_zone_c Vessel_density_zone_c,10809.903558244594
Fractal_dimension_zone_c Average_width_zone_c,158.389850230222
Fractal_dimension_zone_c Distance_tortuosity_zone_c,-5897.362616393607
Fractal_dimension_zone_c Tortuosity_density_zone_c,-25457.113839736565
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,61955.13299675967
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,145.34198130307703
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,16188.022819921622
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,2649.8048125179844
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-21.357831042460496
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-163.44287550339456
Fractal_dimension_zone_c AVR_Knudtson_zone_c,-62422.37440349685
Vessel_density_zone_c^2,3911.672323121646
Vessel_density_zone_c Average_width_zone_c,-2856.91143366642
Vessel_density_zone_c Distance_tortuosity_zone_c,-6983.647677280961
Vessel_density_zone_c Tortuosity_density_zone_c,-7507.980231494376
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,-20246.839707777257
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,-5415.5852535881795
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,11705.485431445335
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,2165.2902640593843
Vessel_density_zone_c CRAE_Knudtson_zone_c,217.2338166792003
Vessel_density_zone_c CRVE_Knudtson_zone_c,424.7150758766545
Vessel_density_zone_c AVR_Knudtson_zone_c,-2635.3347576214146
Average_width_zone_c^2,1.7958113471149062
Average_width_zone_c Distance_tortuosity_zone_c,2.0015547164178713
Average_width_zone_c Tortuosity_density_zone_c,68.00788803888504
Average_width_zone_c Artery_Fractal_dimension_zone_c,572.0915820653548
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-1.149703973410297
Average_width_zone_c Vein_Fractal_dimension_zone_c,-204.52317644285264
Average_width_zone_c Vein_Distance_tortuosity_zone_c,3.9806665690408494
Average_width_zone_c CRAE_Knudtson_zone_c,-4.087471098165224
Average_width_zone_c CRVE_Knudtson_zone_c,2.89231957153752
Average_width_zone_c AVR_Knudtson_zone_c,1435.417225465532
Distance_tortuosity_zone_c^2,1.1251992657291012
Distance_tortuosity_zone_c Tortuosity_density_zone_c,-275.3429803926571
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,2110.8046801961664
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-15.599175046225422
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,5113.726132173498
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-18.33988246765513
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,26.750690420001504
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-16.733956416864288
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-7670.151537500992
Tortuosity_density_zone_c^2,-34926.395245618245
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,11618.40099533249
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-324.3449921856967
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-4487.768454616751
