feature,coefficient
1,-71.7857642440935
Fractal_dimension_zone_c,43628.87986732204
Vessel_density_zone_c,70931.07221380749
Average_width_zone_c,829.1987360635529
Distance_tortuosity_zone_c,-13776.564767439231
Tortuosity_density_zone_c,-74141.27189162426
Artery_Fractal_dimension_zone_c,-70530.92130853039
Artery_Distance_tortuosity_zone_c,1543.8323985344523
Vein_Fractal_dimension_zone_c,-109252.03958805579
Vein_Distance_tortuosity_zone_c,4105.938457082753
CRAE_Knudtson_zone_c,-43.372923808667586
CRVE_Knudtson_zone_c,-163.78353693018954
AVR_Knudtson_zone_c,-707.6242063978746
Fractal_dimension_zone_c^2,-75607.52362671684
Fractal_dimension_zone_c Vessel_density_zone_c,48796.476591597326
Fractal_dimension_zone_c Average_width_zone_c,333.204820261846
Fractal_dimension_zone_c Distance_tortuosity_zone_c,12192.529659399206
Fractal_dimension_zone_c Tortuosity_density_zone_c,131627.42735612718
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,-12379.966908979706
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,4162.7347648069
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,26277.896404260115
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-4781.766880464167
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-283.1396734433157
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,212.75457923825238
Fractal_dimension_zone_c AVR_Knudtson_zone_c,88056.50513774759
Vessel_density_zone_c^2,4237.402985391396
Vessel_density_zone_c Average_width_zone_c,-9549.768960154699
Vessel_density_zone_c Distance_tortuosity_zone_c,19051.944218717723
Vessel_density_zone_c Tortuosity_density_zone_c,57065.42710149047
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,43004.35901677939
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,14734.891792266762
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-13198.210878998829
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,38238.915636846315
Vessel_density_zone_c CRAE_Knudtson_zone_c,5341.597445571328
Vessel_density_zone_c CRVE_Knudtson_zone_c,-4101.589897000527
Vessel_density_zone_c AVR_Knudtson_zone_c,62924.65779842099
Average_width_zone_c^2,-4.292526493003834
Average_width_zone_c Distance_tortuosity_zone_c,39.463649780354785
Average_width_zone_c Tortuosity_density_zone_c,-214.4572645254284
Average_width_zone_c Artery_Fractal_dimension_zone_c,437.110856306458
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-9.078505585073742
Average_width_zone_c Vein_Fractal_dimension_zone_c,-198.75238087472434
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-2.87564335819053
Average_width_zone_c CRAE_Knudtson_zone_c,8.282907131135289
Average_width_zone_c CRVE_Knudtson_zone_c,-4.1167378798337495
Average_width_zone_c AVR_Knudtson_zone_c,-2383.284655434587
Distance_tortuosity_zone_c^2,83.35046524302811
Distance_tortuosity_zone_c Tortuosity_density_zone_c,4795.880998181991
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,-3291.2924134884925
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-13.008622660031392
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-4396.264489223742
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-78.58648832180037
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-64.41753901975346
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,46.47659975457731
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,21772.238939507923
Tortuosity_density_zone_c^2,-26592.95823524668
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,37636.12957057107
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-2031.0274453587708
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-17641.232252851325
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,-1071.438131867465
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,283.63469193500646
Tortuosity_density_zone_c CRVE_Knudtson_zone_c,-55.20097057451744
Tortuosity_density_zone_c AVR_Knudtson_zone_c,2998.3772017443202
Artery_Fractal_dimension_zone_c^2,29623.832801091554
Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-1384.9808558119905
