feature,coefficient
1,-252.70141851498536
Fractal_dimension_zone_c,-157678.6320185831
Vessel_density_zone_c,33467.41526069386
Average_width_zone_c,-754.1047195522233
Distance_tortuosity_zone_c,27614.541946329093
Tortuosity_density_zone_c,23736.64010899815
Artery_Fractal_dimension_zone_c,76625.70243693427
Artery_Distance_tortuosity_zone_c,2097.1607590358067
Vein_Fractal_dimension_zone_c,-91082.62746444753
Vein_Distance_tortuosity_zone_c,-1453.904826291006
CRAE_Knudtson_zone_c,116.7180231309553
CRVE_Knudtson_zone_c,-40.82314875620177
AVR_Knudtson_zone_c,57434.199110443784
Fractal_dimension_zone_c^2,17678.849713289408
Fractal_dimension_zone_c Vessel_density_zone_c,70018.07171181275
Fractal_dimension_zone_c Average_width_zone_c,171.9705217621215
Fractal_dimension_zone_c Distance_tortuosity_zone_c,-7835.804163037908
Fractal_dimension_zone_c Tortuosity_density_zone_c,11935.426778620153
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,191835.90900392356
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-4124.349905611445
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,54667.30303049357
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,869.6307165440611
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-788.304994423113
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,671.8413669036848
Fractal_dimension_zone_c AVR_Knudtson_zone_c,-41800.55882369183
Vessel_density_zone_c^2,8174.388823538322
Vessel_density_zone_c Average_width_zone_c,-17172.467513097352
Vessel_density_zone_c Distance_tortuosity_zone_c,369599.0790256523
Vessel_density_zone_c Tortuosity_density_zone_c,78175.09194827385
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,-27212.38920981164
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,-50760.35107268125
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,23494.3524307073
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,-55024.06913519622
Vessel_density_zone_c CRAE_Knudtson_zone_c,5405.246495224718
Vessel_density_zone_c CRVE_Knudtson_zone_c,-4492.550642917726
Vessel_density_zone_c AVR_Knudtson_zone_c,26191.33924770926
Average_width_zone_c^2,-3.2991040110582617
Average_width_zone_c Distance_tortuosity_zone_c,-7.961835908461808
Average_width_zone_c Tortuosity_density_zone_c,-315.9116272429448
Average_width_zone_c Artery_Fractal_dimension_zone_c,-492.60250359924544
Average_width_zone_c Artery_Distance_tortuosity_zone_c,13.517822442453735
Average_width_zone_c Vein_Fractal_dimension_zone_c,888.3253810778942
Average_width_zone_c Vein_Distance_tortuosity_zone_c,7.594818043766054
Average_width_zone_c CRAE_Knudtson_zone_c,-7.704115325297607
Average_width_zone_c CRVE_Knudtson_zone_c,6.195767617286037
Average_width_zone_c AVR_Knudtson_zone_c,2754.1182124288366
Distance_tortuosity_zone_c^2,-62.151555332002374
Distance_tortuosity_zone_c Tortuosity_density_zone_c,-2053.2162230894432
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,-9956.221132627166
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-24.272991809834195
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-15828.84963237488
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-211.9656809364451
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,24.40595897470189
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-37.91464215326039
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-31118.86136577505
Tortuosity_density_zone_c^2,-78475.29035629626
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,124794.97214606467
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-2036.5215669538777
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-8278.36258341301
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,4695.952716364448
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,323.1759391352939
Tortuosity_density_zone_c CRVE_Knudtson_zone_c,-403.3229913932214
Tortuosity_density_zone_c AVR_Knudtson_zone_c,-68143.46987203318
Artery_Fractal_dimension_zone_c^2,-117421.24924482091
Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,6224.269093824404
Artery_Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-224079.15663170078
Artery_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-735.6186990621557
Artery_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-50.2398093618996
Artery_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,119.98849941357842
Artery_Fractal_dimension_zone_c AVR_Knudtson_zone_c,43349.34231820083
Artery_Distance_tortuosity_zone_c^2,25.534713539165637
Artery_Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,2776.4577445105697
Artery_Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,44.923537513379415
Artery_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,40.89369517772229
Artery_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-30.751758427811637
Artery_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-13340.261950772043
Vein_Fractal_dimension_zone_c^2,145194.70800293903
Vein_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,7182.803717278529
Vein_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,328.25999831261794
Vein_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-224.64094064296188
Vein_Fractal_dimension_zone_c AVR_Knudtson_zone_c,106390.07418181763
Vein_Distance_tortuosity_zone_c^2,43.032418404626526
Vein_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,44.21094816894629
Vein_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-29.51709535666714
Vein_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-11224.33907441271
CRAE_Knudtson_zone_c^2,0.30776806920039235
CRAE_Knudtson_zone_c CRVE_Knudtson_zone_c,-0.33890106684702914
