feature,coefficient
1,-15.360846308924915
Fractal_dimension_zone_c,-234.0089057555807
Vessel_density_zone_c,-2275.1222730630993
Average_width_zone_c,23.777884910552277
Distance_tortuosity_zone_c,-38.81047334462194
Tortuosity_density_zone_c,-4921.247749468823
Artery_Fractal_dimension_zone_c,7546.621173885144
Artery_Distance_tortuosity_zone_c,609.8883391434267
Vein_Fractal_dimension_zone_c,8731.507381191755
Vein_Distance_tortuosity_zone_c,-85.22704068262337
CRAE_Knudtson_zone_c,-21.88992063909237
CRVE_Knudtson_zone_c,17.322774705971405
AVR_Knudtson_zone_c,3492.892920388232
Fractal_dimension_zone_c^2,-2669.323455100291
Fractal_dimension_zone_c Vessel_density_zone_c,-3946.815272943952
Fractal_dimension_zone_c Average_width_zone_c,-64.47657174706339
Fractal_dimension_zone_c Distance_tortuosity_zone_c,1221.4311924082565
Fractal_dimension_zone_c Tortuosity_density_zone_c,5583.570970130188
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,14146.708459482119
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-963.7248087910506
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-9849.698821131855
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-757.2598654516046
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-5.153500654537697
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,6.225098994513136
Fractal_dimension_zone_c AVR_Knudtson_zone_c,-2303.0350436336603
Vessel_density_zone_c^2,-809.8147677813347
Vessel_density_zone_c Average_width_zone_c,-299.99192354222043
Vessel_density_zone_c Distance_tortuosity_zone_c,-8213.293911029456
Vessel_density_zone_c Tortuosity_density_zone_c,71.87700988518407
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,3008.784555755836
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,4116.097813500835
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-1542.521892273029
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,1580.3995055856087
Vessel_density_zone_c CRAE_Knudtson_zone_c,111.46045546713177
Vessel_density_zone_c CRVE_Knudtson_zone_c,-38.53526457251476
Vessel_density_zone_c AVR_Knudtson_zone_c,-2977.6239170807116
Average_width_zone_c^2,0.16658979455269218
Average_width_zone_c Distance_tortuosity_zone_c,2.447369045051193
Average_width_zone_c Tortuosity_density_zone_c,-54.368844196098706
Average_width_zone_c Artery_Fractal_dimension_zone_c,-43.76422833893986
Average_width_zone_c Artery_Distance_tortuosity_zone_c,0.4863603583616296
Average_width_zone_c Vein_Fractal_dimension_zone_c,-17.06916989141382
Average_width_zone_c Vein_Distance_tortuosity_zone_c,0.6816031402046256
Average_width_zone_c CRAE_Knudtson_zone_c,-0.7269697885305391
Average_width_zone_c CRVE_Knudtson_zone_c,0.2992922590155729
Average_width_zone_c AVR_Knudtson_zone_c,153.385476068827
Distance_tortuosity_zone_c^2,16.084243697004556
Distance_tortuosity_zone_c Tortuosity_density_zone_c,-690.1911293495542
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,-170.25534807165417
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-4.814012362699505
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-437.15006443325854
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-9.685390094939308
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,5.111671009184211
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-2.34945210720079
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-929.0438519203489
Tortuosity_density_zone_c^2,3196.224088038095
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,3833.279723974585
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,77.00196863121563
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-5353.298350321849
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,288.18030547188795
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,-3.5345994950971145
Tortuosity_density_zone_c CRVE_Knudtson_zone_c,12.691562075382326
Tortuosity_density_zone_c AVR_Knudtson_zone_c,1417.4521763849812
Artery_Fractal_dimension_zone_c^2,-19285.178811890346
Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,438.1406659970399
Artery_Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,14326.165190991811
Artery_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,88.03247473144476
Artery_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,2.479119643373485
Artery_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-31.381522970160873
Artery_Fractal_dimension_zone_c AVR_Knudtson_zone_c,-6271.4593567220045
Artery_Distance_tortuosity_zone_c^2,0.12828509027366009
Artery_Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,267.88189603665586
Artery_Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,2.4556105314896293
Artery_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,3.2792439734506047
Artery_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-2.7012648577974687
Artery_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-1233.4252059204923
Vein_Fractal_dimension_zone_c^2,-9391.077105538812
Vein_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,754.9832251409945
Vein_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-9.295661200158413
Vein_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,8.977221343268113
Vein_Fractal_dimension_zone_c AVR_Knudtson_zone_c,2331.7238180340687
Vein_Distance_tortuosity_zone_c^2,-2.085709952279947
Vein_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-0.5304188945850683
Vein_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,0.11295914360437109
Vein_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,159.73560003827762
CRAE_Knudtson_zone_c^2,0.033940646827545606
CRAE_Knudtson_zone_c CRVE_Knudtson_zone_c,0.04544488496003396
CRAE_Knudtson_zone_c AVR_Knudtson_zone_c,4.46893313126258
CRVE_Knudtson_zone_c^2,-0.03273219696711749
CRVE_Knudtson_zone_c AVR_Knudtson_zone_c,-22.22579911808231
AVR_Knudtson_zone_c^2,4005.3427668929803
Fractal_dimension_zone_c^3,-6202.55906102272
Fractal_dimension_zone_c^2 Vessel_density_zone_c,-7542.494359868824
Fractal_dimension_zone_c^2 Average_width_zone_c,114.3708957191081
Fractal_dimension_zone_c^2 Distance_tortuosity_zone_c,-260.6321881623318
