feature,coefficient
1,-0.3899116373761288
Fractal_dimension_zone_c,309.0566614686139
Vessel_density_zone_c,8.475008526978192
Average_width_zone_c,-0.09716086438193969
Distance_tortuosity_zone_c,53.20658869257093
Tortuosity_density_zone_c,13.9482879579689
Artery_Fractal_dimension_zone_c,108.22355019957118
Artery_Distance_tortuosity_zone_c,-1.9254806493293122
Vein_Fractal_dimension_zone_c,-178.97646450296787
Vein_Distance_tortuosity_zone_c,-14.995121551498316
CRAE_Knudtson_zone_c,-0.1242315764835733
CRVE_Knudtson_zone_c,0.9649468652747283
AVR_Knudtson_zone_c,221.14757654010285
Fractal_dimension_zone_c^2,-145.12277023120765
Fractal_dimension_zone_c Vessel_density_zone_c,110.88434189479462
Fractal_dimension_zone_c Average_width_zone_c,-1.8773408971003476
Fractal_dimension_zone_c Distance_tortuosity_zone_c,-41.95343767016365
Fractal_dimension_zone_c Tortuosity_density_zone_c,138.26656702302893
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,243.94253216998555
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,11.910046596817892
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-206.87576632211395
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,26.77887855890797
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-0.6086309537980666
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-0.5514559891208812
Fractal_dimension_zone_c AVR_Knudtson_zone_c,238.978092269678
Vessel_density_zone_c^2,-20.562814409888876
Vessel_density_zone_c Average_width_zone_c,-56.364577049452265
Vessel_density_zone_c Distance_tortuosity_zone_c,738.3034350976023
Vessel_density_zone_c Tortuosity_density_zone_c,180.32782705383903
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,-2.339145841238419
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,-98.18821943348715
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-287.57630500257557
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,-62.04603776132931
Vessel_density_zone_c CRAE_Knudtson_zone_c,5.282727711717526
Vessel_density_zone_c CRVE_Knudtson_zone_c,3.743228051726824
Vessel_density_zone_c AVR_Knudtson_zone_c,-5.950218435836795
Average_width_zone_c^2,0.001649612233183717
Average_width_zone_c Distance_tortuosity_zone_c,-0.03856446165317784
Average_width_zone_c Tortuosity_density_zone_c,-0.847864728274006
Average_width_zone_c Artery_Fractal_dimension_zone_c,-0.96716611404876
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-0.025694198397208767
Average_width_zone_c Vein_Fractal_dimension_zone_c,3.061455541099578
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-0.01874646417331638
Average_width_zone_c CRAE_Knudtson_zone_c,-0.003606159901147876
Average_width_zone_c CRVE_Knudtson_zone_c,0.0038490267289397195
