feature,coefficient
1,-0.43518231529999146
Fractal_dimension_zone_c,-252.47141161568976
Vessel_density_zone_c,-116.33511115977488
Average_width_zone_c,-8.860817359125306
Distance_tortuosity_zone_c,-4.151284652686587
Tortuosity_density_zone_c,-190.83967467592242
Artery_Fractal_dimension_zone_c,-409.85647086098015
Artery_Distance_tortuosity_zone_c,2.543570918720045
Vein_Fractal_dimension_zone_c,437.6248758181624
Vein_Distance_tortuosity_zone_c,-4.993283478702923
CRAE_Knudtson_zone_c,-0.36802999167960154
CRVE_Knudtson_zone_c,1.8484443903400343
AVR_Knudtson_zone_c,-74.25569643633945
Fractal_dimension_zone_c^2,147.31603654118382
Fractal_dimension_zone_c Vessel_density_zone_c,-62.70297540713995
Fractal_dimension_zone_c Average_width_zone_c,4.546549230397387
Fractal_dimension_zone_c Distance_tortuosity_zone_c,-12.682213047611958
Fractal_dimension_zone_c Tortuosity_density_zone_c,360.59681893181653
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,368.16217537149095
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,1.986546687007043
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,134.9140269435465
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-12.754413385575885
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-1.9308476637316232
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-1.7810707517232223
Fractal_dimension_zone_c AVR_Knudtson_zone_c,-211.70247557832226
Vessel_density_zone_c^2,68.34229147713128
Vessel_density_zone_c Average_width_zone_c,-14.368261263489295
Vessel_density_zone_c Distance_tortuosity_zone_c,83.33268234735122
Vessel_density_zone_c Tortuosity_density_zone_c,-83.74231009670893
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,42.87529705371932
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,16.54570412431234
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,84.43988422924775
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,-182.7090992260955
Vessel_density_zone_c CRAE_Knudtson_zone_c,-8.581331356288421
Vessel_density_zone_c CRVE_Knudtson_zone_c,8.21452115827887
Vessel_density_zone_c AVR_Knudtson_zone_c,-63.17285023824661
Average_width_zone_c^2,0.013214228700758834
Average_width_zone_c Distance_tortuosity_zone_c,0.05058861055439057
Average_width_zone_c Tortuosity_density_zone_c,1.5052028884549218
Average_width_zone_c Artery_Fractal_dimension_zone_c,2.1858002286089415
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-0.04246975484387194
Average_width_zone_c Vein_Fractal_dimension_zone_c,-3.8489111122983335
Average_width_zone_c Vein_Distance_tortuosity_zone_c,0.05501716063549278
Average_width_zone_c CRAE_Knudtson_zone_c,-0.04834103295008951
Average_width_zone_c CRVE_Knudtson_zone_c,0.03523137590648062
Average_width_zone_c AVR_Knudtson_zone_c,19.026513886114888
Distance_tortuosity_zone_c^2,0.36585097913380377
Distance_tortuosity_zone_c Tortuosity_density_zone_c,13.924159648487878
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,25.877536609207283
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-0.05782431310608477
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,5.2711642744578135
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-0.14133761859172456
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,0.04927940322302882
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-0.0775024115250662
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-22.776358006430467
Tortuosity_density_zone_c^2,186.56430837056513
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,57.40584359135181
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,0.13553163838266977
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-461.68261737834524
