feature,coefficient
1,-23.023882431065648
Fractal_dimension_zone_c,-42978.32821519758
Vessel_density_zone_c,2768.5095904709256
Average_width_zone_c,70.11734784094327
Distance_tortuosity_zone_c,-645.3645333065838
Tortuosity_density_zone_c,-13386.49869499739
Artery_Fractal_dimension_zone_c,38016.11660660912
Artery_Distance_tortuosity_zone_c,78.02547352695514
Vein_Fractal_dimension_zone_c,1411.9739646901057
Vein_Distance_tortuosity_zone_c,1556.4418011915661
CRAE_Knudtson_zone_c,-83.07053717919287
CRVE_Knudtson_zone_c,18.29432181571703
AVR_Knudtson_zone_c,7344.907189818001
Fractal_dimension_zone_c^2,17600.32115082101
Fractal_dimension_zone_c Vessel_density_zone_c,18237.59994045926
Fractal_dimension_zone_c Average_width_zone_c,429.53249664433775
Fractal_dimension_zone_c Distance_tortuosity_zone_c,581.1992964836595
Fractal_dimension_zone_c Tortuosity_density_zone_c,3709.6271670866363
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,14398.46382913522
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,56.00163539453511
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,18007.92109219965
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-1994.198613099563
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,45.68448256706887
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-132.72598721959497
Fractal_dimension_zone_c AVR_Knudtson_zone_c,-22947.94691722755
Vessel_density_zone_c^2,-2030.4425712402142
Vessel_density_zone_c Average_width_zone_c,-226.5724705712507
Vessel_density_zone_c Distance_tortuosity_zone_c,-16108.00668334122
Vessel_density_zone_c Tortuosity_density_zone_c,7714.588178953684
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,-9487.995518041265
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,2428.521060580382
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-11120.041639845767
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,10323.215106033163
Vessel_density_zone_c CRAE_Knudtson_zone_c,-316.7909275571241
Vessel_density_zone_c CRVE_Knudtson_zone_c,32.671986656653544
Vessel_density_zone_c AVR_Knudtson_zone_c,2387.779481407913
Average_width_zone_c^2,-0.30128299261681946
Average_width_zone_c Distance_tortuosity_zone_c,0.6064139327519875
Average_width_zone_c Tortuosity_density_zone_c,29.466069439067297
Average_width_zone_c Artery_Fractal_dimension_zone_c,-376.91072469508964
Average_width_zone_c Artery_Distance_tortuosity_zone_c,-0.44646499877777224
Average_width_zone_c Vein_Fractal_dimension_zone_c,-216.29381125856537
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-2.4810404484851816
Average_width_zone_c CRAE_Knudtson_zone_c,0.4936267558767753
Average_width_zone_c CRVE_Knudtson_zone_c,-0.0893505370991079
Average_width_zone_c AVR_Knudtson_zone_c,-147.51126673910247
Distance_tortuosity_zone_c^2,-14.874399911539406
Distance_tortuosity_zone_c Tortuosity_density_zone_c,164.75672333532526
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,255.67375462733114
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-6.417766762039495
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,1371.8316928221466
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-10.1797118725733
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,11.784248655528419
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-4.426075857612041
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-1735.732518901693
Tortuosity_density_zone_c^2,3671.3570097241054
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,-3680.1134522051752
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-237.56692345345544
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,10128.67146474975
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,-235.97375763381808
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,-48.4863955108639
Tortuosity_density_zone_c CRVE_Knudtson_zone_c,48.640969786420314
Tortuosity_density_zone_c AVR_Knudtson_zone_c,16313.69804307373
Artery_Fractal_dimension_zone_c^2,-41092.01664515033
Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,73.1113181387287
Artery_Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,12537.714975797915
Artery_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,464.22097426538875
