feature,coefficient
1,-0.3061814927858909
Fractal_dimension_zone_c,359.30205995532464
Vessel_density_zone_c,164.02485103360138
Average_width_zone_c,-3.9053697793604947
Distance_tortuosity_zone_c,65.84613202641155
Tortuosity_density_zone_c,-42.84030753931375
Artery_Fractal_dimension_zone_c,183.72459476576404
Artery_Distance_tortuosity_zone_c,-3.007669755231314
Vein_Fractal_dimension_zone_c,-247.60466126290453
Vein_Distance_tortuosity_zone_c,6.846328367664298
CRAE_Knudtson_zone_c,0.1687560458958243
CRVE_Knudtson_zone_c,1.1006242359997145
AVR_Knudtson_zone_c,226.73261275038664
Fractal_dimension_zone_c^2,-207.16967991105338
Fractal_dimension_zone_c Vessel_density_zone_c,228.3948886914029
Fractal_dimension_zone_c Average_width_zone_c,-0.7698232256200214
Fractal_dimension_zone_c Distance_tortuosity_zone_c,-53.00053081987363
Fractal_dimension_zone_c Tortuosity_density_zone_c,62.276152697749914
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,23.268089293438074
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,9.142872760562048
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-148.88182043978586
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,25.983726944647948
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-0.10768466161333791
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-0.3140648690791621
Fractal_dimension_zone_c AVR_Knudtson_zone_c,321.5162126004322
Vessel_density_zone_c^2,-50.09271859044609
Vessel_density_zone_c Average_width_zone_c,-78.91034247276795
Vessel_density_zone_c Distance_tortuosity_zone_c,772.6349485078107
Vessel_density_zone_c Tortuosity_density_zone_c,281.70831957808986
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,-107.09180870507674
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,-95.2401263765379
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-143.7951870205898
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,82.90603466731751
Vessel_density_zone_c CRAE_Knudtson_zone_c,3.8555532897644187
Vessel_density_zone_c CRVE_Knudtson_zone_c,6.441226599414316
Vessel_density_zone_c AVR_Knudtson_zone_c,80.98030541141526
Average_width_zone_c^2,0.008690110867746625
Average_width_zone_c Distance_tortuosity_zone_c,-0.11532318948169706
Average_width_zone_c Tortuosity_density_zone_c,0.12327052731676055
Average_width_zone_c Artery_Fractal_dimension_zone_c,-0.20724100597136236
Average_width_zone_c Artery_Distance_tortuosity_zone_c,0.007686899727028962
Average_width_zone_c Vein_Fractal_dimension_zone_c,5.031480013365311
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-0.05643909414776482
Average_width_zone_c CRAE_Knudtson_zone_c,-0.010650426891782416
Average_width_zone_c CRVE_Knudtson_zone_c,0.011071626381337296
Average_width_zone_c AVR_Knudtson_zone_c,4.5349610962635225
Distance_tortuosity_zone_c^2,-0.03704769218523518
Distance_tortuosity_zone_c Tortuosity_density_zone_c,11.031717039224207
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,-10.93007736320953
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-0.05025144319319297
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-12.035531584606163
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-0.1076242340481568
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,0.09332120088828733
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-0.10949298548220354
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-69.32313269295456
Tortuosity_density_zone_c^2,-111.609012576031
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,-67.52101322181834
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-2.8658419604547554
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,335.5624593995166
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,14.347464190655675
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,0.3220884315100505
