feature,coefficient
1,-0.006740264043874937
Fractal_dimension_zone_c,13.721781506186073
Vessel_density_zone_c,1.0142636516311774
Average_width_zone_c,-0.135382393364548
Distance_tortuosity_zone_c,0.7975323817339625
Tortuosity_density_zone_c,3.843625213069758
Artery_Fractal_dimension_zone_c,15.90954854241987
Artery_Distance_tortuosity_zone_c,0.2239093886455674
Vein_Fractal_dimension_zone_c,-27.58786450604499
Vein_Distance_tortuosity_zone_c,1.2683010898670557
CRAE_Knudtson_zone_c,-0.017927629017351548
CRVE_Knudtson_zone_c,0.040469472599974535
AVR_Knudtson_zone_c,6.349855008775774
Fractal_dimension_zone_c^2,1.6562902491828013
Fractal_dimension_zone_c Vessel_density_zone_c,9.155166739310703
Fractal_dimension_zone_c Average_width_zone_c,0.08333341151761248
Fractal_dimension_zone_c Distance_tortuosity_zone_c,-1.2284280299107226
Fractal_dimension_zone_c Tortuosity_density_zone_c,-7.072018930043534
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c,-7.4485610996302976
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,1.069575907862533
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-2.3047419728257217
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,0.8803395878866627
Fractal_dimension_zone_c CRAE_Knudtson_zone_c,0.04285831654452092
Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-0.07777287420132897
Fractal_dimension_zone_c AVR_Knudtson_zone_c,12.639499612523435
Vessel_density_zone_c^2,-3.9828897296020793
Vessel_density_zone_c Average_width_zone_c,-1.1915792700307726
Vessel_density_zone_c Distance_tortuosity_zone_c,19.26547543864732
Vessel_density_zone_c Tortuosity_density_zone_c,10.71492758736833
Vessel_density_zone_c Artery_Fractal_dimension_zone_c,-9.726350897779117
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,-8.432954354685203
Vessel_density_zone_c Vein_Fractal_dimension_zone_c,-12.279834926702161
Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,3.2930193338968285
Vessel_density_zone_c CRAE_Knudtson_zone_c,-0.052510419438864246
Vessel_density_zone_c CRVE_Knudtson_zone_c,0.27528507117236234
Vessel_density_zone_c AVR_Knudtson_zone_c,-0.7088731378099946
Average_width_zone_c^2,0.0001267678723012311
Average_width_zone_c Distance_tortuosity_zone_c,-0.005188728018506755
Average_width_zone_c Tortuosity_density_zone_c,0.05100419790200052
Average_width_zone_c Artery_Fractal_dimension_zone_c,-0.1205910712621502
Average_width_zone_c Artery_Distance_tortuosity_zone_c,0.0009061977570129771
Average_width_zone_c Vein_Fractal_dimension_zone_c,0.08157928382161425
Average_width_zone_c Vein_Distance_tortuosity_zone_c,-0.003469826495171899
Average_width_zone_c CRAE_Knudtson_zone_c,-0.0007494051778607
Average_width_zone_c CRVE_Knudtson_zone_c,0.0007148949151765394
Average_width_zone_c AVR_Knudtson_zone_c,0.24836507050968584
Distance_tortuosity_zone_c^2,0.007237337930127208
Distance_tortuosity_zone_c Tortuosity_density_zone_c,0.9357236395254105
Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,-0.827714517036064
Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-0.010441816069732462
Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,0.03761388086529497
Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-0.02718107868468883
Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-0.0014818939521610251
Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,0.002988502749578712
Distance_tortuosity_zone_c AVR_Knudtson_zone_c,0.8616560343025544
Tortuosity_density_zone_c^2,-15.705928246351881
Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,5.79531601139683
Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,-0.36546404983502656
Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,10.509913097338465
Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,0.49477663717972276
Tortuosity_density_zone_c CRAE_Knudtson_zone_c,-0.06664724387964849
Tortuosity_density_zone_c CRVE_Knudtson_zone_c,0.001989315281121942
Tortuosity_density_zone_c AVR_Knudtson_zone_c,8.632623811093387
Artery_Fractal_dimension_zone_c^2,-8.074218275077744
Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-0.23683618171381665
Artery_Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,3.896459742589437
Artery_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,0.16476377808518017
Artery_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-0.06497489358476019
Artery_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,-0.0005254397496280133
Artery_Fractal_dimension_zone_c AVR_Knudtson_zone_c,-27.132699358499504
Artery_Distance_tortuosity_zone_c^2,0.0054225227853408504
Artery_Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,0.11327583747964612
Artery_Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,0.008719021884535928
Artery_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,0.009528856414605734
Artery_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-0.005243172486952774
Artery_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-2.5650997662154404
Vein_Fractal_dimension_zone_c^2,12.849411947915968
Vein_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-1.2317388835019965
Vein_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,0.009623172593234154
Vein_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,0.0616691550648651
Vein_Fractal_dimension_zone_c AVR_Knudtson_zone_c,3.8132071612496055
Vein_Distance_tortuosity_zone_c^2,0.007868570019074695
Vein_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,0.010106269774679572
Vein_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-0.009278498962254411
Vein_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-4.262353243682189
CRAE_Knudtson_zone_c^2,-0.00015936899709906305
CRAE_Knudtson_zone_c CRVE_Knudtson_zone_c,0.00016647514465650826
CRAE_Knudtson_zone_c AVR_Knudtson_zone_c,0.01986784674407453
CRVE_Knudtson_zone_c^2,-0.00015519352549242527
CRVE_Knudtson_zone_c AVR_Knudtson_zone_c,-0.01859732134260767
AVR_Knudtson_zone_c^2,2.657677448408344
Fractal_dimension_zone_c^3,-16.872678089105694
Fractal_dimension_zone_c^2 Vessel_density_zone_c,43.16300924020062
