,MultipleLinearRegression,Ridge,SVR,PolynomialRegression,DecisionTree_Tuned,RandomForest_Tuned,GradientBoosting_Tuned,XGBoost_Tuned
AVR_Knudtson_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
Artery_Distance_tortuosity_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
Artery_Fractal_dimension_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
Average_width_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
CRAE_Knudtson_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
CRVE_Knudtson_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
Distance_tortuosity_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
Fractal_dimension_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
Tortuosity_density_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
Vein_Distance_tortuosity_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
Vein_Fractal_dimension_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}","{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
Vessel_density_zone_c,N/A,N/A,N/A,N/A,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
