,MultipleLinearRegression,RandomForest_Tuned,GradientBoosting_Tuned,DecisionTree_Tuned,PolynomialRegression,XGBoost_Tuned,Ridge,SVR
AVR_Knudtson_zone_c,0.6386297174191995,0.6211359847541866,0.6272350861093747,0.4689322802095168,-23.1638199841093,0.6265445387897215,0.6524284005015852,0.6223392285151429
Artery_Distance_tortuosity_zone_c,0.34488540083014163,0.08591853391706139,0.18709221066005566,-0.4946155567168926,-43.77739604765588,0.1799601681544588,0.3396339774069519,-0.03364213241858538
Artery_Fractal_dimension_zone_c,0.0031038244030460183,-0.04480954475931975,-0.44759566802774997,-0.08467307729271778,-63.67451003446101,-0.48403127973950566,-0.34324460139515733,-2.0629017069391824
Average_width_zone_c,0.6364303481685857,0.5913319089457716,0.5618114535047016,0.4689413672620578,-20.409431876791146,0.6153681444618397,0.6103899558929187,0.16803895593559381
CRAE_Knudtson_zone_c,0.6987676732043258,0.7190668814217482,0.7291227143701329,0.5804523895346843,-17.227949416199095,0.738636732374518,0.7135583342589251,0.32268096349615905
CRVE_Knudtson_zone_c,0.7589903225797529,0.6858537177937308,0.703531211776218,0.694447248618792,-26.041314688884736,0.678804462815414,0.8083830463217739,0.4192615864689947
Distance_tortuosity_zone_c,0.40941518942373856,0.34801356137273753,0.3518037064891152,0.2615067727347701,-37.27591633720752,0.4053522112015925,0.42503686500987703,0.040998330332359445
Fractal_dimension_zone_c,-0.13597395296938708,-1.541739354546249,-1.742373214137824,-2.37364983372535,-102.24195654410136,-1.8624131844072238,-1.534410751604717,-4.392353275254587
Tortuosity_density_zone_c,0.3992089102641868,0.32528388410352593,0.2999990938517718,0.03030765950838077,-52.925520245984416,0.31936973747063957,0.3285363708706076,-0.07196157162643213
Vein_Distance_tortuosity_zone_c,0.2624276746947549,0.1982044589289752,0.2388026300702012,0.1000545475224921,-110.35396413540585,0.24436104411354376,0.2689747744890447,-0.03996594353925009
Vein_Fractal_dimension_zone_c,0.05983189646221776,-0.45175597112874444,-0.5871548540197429,-1.4282095093511091,-74.63317364298823,-0.8673988842538587,-0.4869877578448547,-2.833072397767268
Vessel_density_zone_c,0.7030323158010812,0.687468694035336,0.6861729333761029,0.6220618878227573,-27.482697184989973,0.6970118479675533,0.1923845274796081,-0.057804286057104415
