,MultipleLinearRegression,Ridge,SVR,PolynomialRegression,DecisionTree_Tuned,RandomForest_Tuned,GradientBoosting_Tuned,XGBoost_Tuned
AVR_Knudtson_zone_c,0.7248336436606945,0.7207159703893864,0.6548836787705279,-5.273032892071351,0.5811725115042611,0.6881289857026363,0.6666656217093136,0.7073696953207307
Artery_Distance_tortuosity_zone_c,0.42195272011990514,0.4168239379522296,-0.0630573446626459,-10.139961754539106,0.3157682159658026,0.40419293711758286,0.43127692675106044,0.4427539882191439
Artery_Fractal_dimension_zone_c,0.5840060245983343,0.4827329162233819,0.12921222130371313,-3.4407558634745437,0.49903851959496803,0.5806386756577986,0.5699060985143136,0.5697837848426299
Average_width_zone_c,0.5938406332094301,0.5978389446228334,0.15300800557843952,-2.029620171249045,0.5069515811747196,0.5727385349926803,0.5498426245396195,0.5845577216962979
CRAE_Knudtson_zone_c,0.8102905033874883,0.8079463359715178,0.35921105497853933,-0.8107372566695878,0.7053367291711123,0.756808031804308,0.7800422288248047,0.7904472407237225
CRVE_Knudtson_zone_c,0.8628946133240349,0.8682331382664354,0.42232569037360246,-2.7233907157423256,0.8132436641890193,0.8334848356780452,0.8001576514762155,0.8211894927196345
Distance_tortuosity_zone_c,0.3747943258202453,0.39274565403882167,0.05886841762594841,-7.378506960604534,0.19440782410620505,0.32332210596503563,0.3761720995474551,0.3511338680218027
Fractal_dimension_zone_c,0.5124856018929185,0.45449731514095815,0.004665076964445736,-4.859835480931657,0.4078699635649815,0.4798198328327209,0.48784789803717343,0.5074202915876604
Tortuosity_density_zone_c,0.4821232473278019,0.37981423101308087,0.002989332329060179,-7.794007315453502,0.4199467860317996,0.42171713406411016,0.4159742925506835,0.4213199715899112
Vein_Distance_tortuosity_zone_c,0.24228971611354055,0.2491527461524935,-0.059244431462564195,-7.703815557226468,0.2324495795698467,0.25811237748861915,0.26854792363844016,0.2536930668581264
Vein_Fractal_dimension_zone_c,0.5243847195694348,0.45917681695181645,0.10743801598340941,-6.602794290165988,0.4386537446657709,0.4909248603980394,0.487275996385486,0.5058729683780414
Vessel_density_zone_c,0.8001080874701134,0.5939156778419254,-0.0003744970181669416,-5.1153362118788435,0.6819215102019184,0.7686906810236384,0.7836719751026938,0.791137616830787
